id,distance,weight
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TemplateVars method=isStaticFinal methodDesc=(Ljava/lang/reflect/Field;)Z] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ABSMutator],10,17
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeEncoder$AnnotatedEncodingTypeVisitor method=lambda$appendAnnotationsWithExclusions$0 methodDesc=(Ljavax/lang/model/element/AnnotationMirror;)Z] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR3Mutator],3,413
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.AnnotationOutput$SourceFormVisitor method=visitFloat methodDesc=(FLjava/lang/StringBuilder;)Ljava/lang/Void;] indexes=[48] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],68,28
MutationIdentifier [location=Location [clazz=com.google.auto.value.extension.serializable.processor.SerializableAutoValueExtension$Generator method=writeReplace methodDesc=()Lcom/squareup/javapoet/MethodSpec;] indexes=[25] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],130,19
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.AutoValueProcessor method=init methodDesc=(Ljavax/annotation/processing/ProcessingEnvironment;)V] indexes=[29] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],100,22
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.AutoOneOfProcessor method=lambda$findKindGetterOrAbort$6 methodDesc=(Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/element/ExecutableElement;)Z] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],110,59
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.AutoValueOrOneOfProcessor$Property method=toString methodDesc=()Ljava/lang/String;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator],19,82
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.JavaScanner method=tokenEnd methodDesc=(I)I] indexes=[82] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOD1Mutator],4,41
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.ExtensionContext method=<init> methodDesc=(Ljavax/annotation/processing/ProcessingEnvironment;Ljavax/lang/model/element/TypeElement;Lcom/google/common/collect/ImmutableMap;Lcom/google/common/collect/ImmutableMap;Lcom/google/common/collect/ImmutableSet;)V] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],56,20
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.AnnotationOutput$SourceFormVisitor method=visitEnumConstant methodDesc=(Ljavax/lang/model/element/VariableElement;Ljava/lang/StringBuilder;)Ljava/lang/Void;] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],85,114
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.AnnotationOutput$SourceFormVisitor method=visitDouble methodDesc=(DLjava/lang/StringBuilder;)Ljava/lang/Void;] indexes=[16] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI4Mutator],47,18
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.AutoOneOfProcessor method=validateMethods methodDesc=(Ljavax/lang/model/element/TypeElement;Lcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;Ljavax/lang/model/element/ExecutableElement;)V] indexes=[51] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],144,11
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeEncoder$EncodingTypeVisitor method=appendTypeArguments methodDesc=(Ljavax/lang/model/type/DeclaredType;Ljava/lang/StringBuilder;)V] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],848,3
MutationIdentifier [location=Location [clazz=com.google.auto.value.extension.memoized.processor.MemoizeExtension$Generator method=generate methodDesc=()Ljava/lang/String;] indexes=[65] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],71,16
MutationIdentifier [location=Location [clazz=com.google.auto.value.extension.serializable.processor.SerializableAutoValueExtension$Generator method=constructor methodDesc=()Lcom/squareup/javapoet/MethodSpec;] indexes=[49] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],194,11
MutationIdentifier [location=Location [clazz=com.google.auto.value.extension.toprettystring.processor.ExtensionClassTypeSpecBuilder method=extensionClassBuilder methodDesc=()Lcom/squareup/javapoet/TypeSpec$Builder;] indexes=[57] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],182,5
MutationIdentifier [location=Location [clazz=com.google.auto.value.extension.serializable.serializer.impl.OptionalSerializerExtension method=getSerializer methodDesc=(Ljavax/lang/model/type/TypeMirror;Lcom/google/auto/value/extension/serializable/serializer/interfaces/SerializerFactory;Ljavax/annotation/processing/ProcessingEnvironment;)Ljava/util/Optional;] indexes=[20] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],231,5
