id,mutOperator,opcode,returnType,localVarsCount,isInTryCatch,isInFinalBlock,className,methodName,blockNumber,lineNumber,distance,killed,numTests
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOD2Mutator],AOD2Mutator,104,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,0,43,27,1,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOD2Mutator],AOD2Mutator,96,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,2,43,26,1,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR4Mutator],CRCR4Mutator,16,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,0,43,14,1,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[17] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],CRCR6Mutator,16,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,2,44,13,1,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[17] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR5Mutator],CRCR5Mutator,16,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,2,44,13,1,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[17] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR2Mutator],CRCR2Mutator,16,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,2,44,14,1,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[17] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR4Mutator],CRCR4Mutator,16,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,2,44,14,1,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[17] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR3Mutator],CRCR3Mutator,16,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,2,44,14,1,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[17] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR1Mutator],CRCR1Mutator,16,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,2,44,14,1,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[18] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI3Mutator],UOI3Mutator,21,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,2,44,13,1,1
