id,mutOperator,opcode,returnType,localVarsCount,isInTryCatch,isInFinalBlock,className,methodName,blockNumber,lineNumber,distance,killed,numTests
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI1Mutator],UOI1Mutator,21,none,4,1,1,com.google.auto.common.MoreTypes$HashVisitor,hashKind,0,363,13,1,4
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[17] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI4Mutator],UOI4Mutator,21,none,4,1,1,com.google.auto.common.MoreTypes$HashVisitor,hashKind,2,364,14,1,4
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[17] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI3Mutator],UOI3Mutator,21,none,4,1,1,com.google.auto.common.MoreTypes$HashVisitor,hashKind,2,364,13,1,4
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[17] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI2Mutator],UOI2Mutator,21,none,4,1,1,com.google.auto.common.MoreTypes$HashVisitor,hashKind,2,364,14,1,4
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[18] mutator=org.pitest.mutationtest.engine.gregor.mutators.PrimitiveReturnsMutator],PrimitiveReturnsMutator,172,none,4,1,1,com.google.auto.common.MoreTypes$HashVisitor,hashKind,2,364,21,1,4
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[17] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ABSMutator],ABSMutator,21,none,4,1,1,com.google.auto.common.MoreTypes$HashVisitor,hashKind,2,364,9,1,4
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[18] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],ReturnValsMutator,172,none,4,1,1,com.google.auto.common.MoreTypes$HashVisitor,hashKind,2,364,60,1,4
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[17] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI1Mutator],UOI1Mutator,21,none,4,1,1,com.google.auto.common.MoreTypes$HashVisitor,hashKind,2,364,13,1,4
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=defaultAction methodDesc=(Ljavax/lang/model/type/TypeMirror;Ljava/util/Set;)Ljava/lang/Integer;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR4Mutator],CRCR4Mutator,16,L,3,1,1,com.google.auto.common.MoreTypes$HashVisitor,defaultAction,0,369,116,1,4
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=defaultAction methodDesc=(Ljavax/lang/model/type/TypeMirror;Ljava/util/Set;)Ljava/lang/Integer;] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator],EmptyObjectReturnValsMutator,176,L,3,1,1,com.google.auto.common.MoreTypes$HashVisitor,defaultAction,2,369,87,1,4
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=defaultAction methodDesc=(Ljavax/lang/model/type/TypeMirror;Ljava/util/Set;)Ljava/lang/Integer;] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,182,L,3,1,1,com.google.auto.common.MoreTypes$HashVisitor,defaultAction,0,369,101,1,4
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=defaultAction methodDesc=(Ljavax/lang/model/type/TypeMirror;Ljava/util/Set;)Ljava/lang/Integer;] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,184,L,3,1,1,com.google.auto.common.MoreTypes$HashVisitor,defaultAction,1,369,58,0,4
