id,distance,weight
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=parse methodDesc=(Ljava/lang/String;Ljava/text/ParsePosition;)Ljava/util/Date;] indexes=[512] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],201,1
MutationIdentifier [location=Location [clazz=com.google.gson.stream.JsonWriter method=beforeName methodDesc=()V] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],53,45
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.TypeAdapters$20 method=write methodDesc=(Lcom/google/gson/stream/JsonWriter;Ljava/lang/StringBuffer;)V] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],62,39
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=parse methodDesc=(Ljava/lang/String;Ljava/text/ParsePosition;)Ljava/util/Date;] indexes=[618] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],87,30
MutationIdentifier [location=Location [clazz=com.google.gson.Gson$3 method=read methodDesc=(Lcom/google/gson/stream/JsonReader;)Ljava/lang/Number;] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],59,74
MutationIdentifier [location=Location [clazz=com.google.gson.stream.JsonWriter method=setIndent methodDesc=(Ljava/lang/String;)V] indexes=[15] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],69,33
MutationIdentifier [location=Location [clazz=com.google.gson.Gson method=getAdapter methodDesc=(Lcom/google/gson/reflect/TypeToken;)Lcom/google/gson/TypeAdapter;] indexes=[40] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],20,49
MutationIdentifier [location=Location [clazz=com.google.gson.internal.ConstructorConstructor$7 method=construct methodDesc=()Ljava/lang/Object;] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator],25,30
MutationIdentifier [location=Location [clazz=com.google.gson.stream.JsonReader method=endObject methodDesc=()V] indexes=[44] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOD2Mutator],27,26
MutationIdentifier [location=Location [clazz=com.google.gson.stream.JsonReader method=nextBoolean methodDesc=()Z] indexes=[48] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],23,8
MutationIdentifier [location=Location [clazz=com.google.gson.internal.$Gson$Types$WildcardTypeImpl method=<init> methodDesc=([Ljava/lang/reflect/Type;[Ljava/lang/reflect/Type;)V] indexes=[66] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],74,27
MutationIdentifier [location=Location [clazz=com.google.gson.Gson$4 method=read methodDesc=(Lcom/google/gson/stream/JsonReader;)Ljava/util/concurrent/atomic/AtomicLong;] indexes=[16] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],153,38
MutationIdentifier [location=Location [clazz=com.google.gson.internal.LinkedTreeMap$Node method=hashCode methodDesc=()I] indexes=[18] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],22,19
MutationIdentifier [location=Location [clazz=com.google.gson.Gson method=fromJson methodDesc=(Ljava/lang/String;Ljava/lang/Class;)Ljava/lang/Object;] indexes=[14] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],154,26
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.TypeAdapters$26 method=create methodDesc=(Lcom/google/gson/Gson;Lcom/google/gson/reflect/TypeToken;)Lcom/google/gson/TypeAdapter;] indexes=[25] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],155,18
MutationIdentifier [location=Location [clazz=com.google.gson.Gson method=doubleAdapter methodDesc=(Z)Lcom/google/gson/TypeAdapter;] indexes=[15] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],65,33
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.TypeAdapters$29 method=read methodDesc=(Lcom/google/gson/stream/JsonReader;)Lcom/google/gson/JsonElement;] indexes=[17] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],187,1
