id,distance,weight
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVParser method=addRecordValue methodDesc=(Z)V] indexes=[33] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],17,3
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=putIn methodDesc=(Ljava/util/Map;)Ljava/util/Map;] indexes=[40] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_ELSE],290,1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVParser method=createHeaders methodDesc=()Lorg/apache/commons/csv/CSVParser$Headers;] indexes=[36] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],90,15
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVFormat method=toStringArray methodDesc=([Ljava/lang/Object;)[Ljava/lang/String;] indexes=[55] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],155,5
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVParser method=<init> methodDesc=(Ljava/io/Reader;Lorg/apache/commons/csv/CSVFormat;JJ)V] indexes=[72] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],68,15
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.Token method=toString methodDesc=()Ljava/lang/String;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],46,14
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVPrinter method=printComment methodDesc=(Ljava/lang/String;)V] indexes=[27] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],83,4
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVFormat method=newFormat methodDesc=(C)Lorg/apache/commons/csv/CSVFormat;] indexes=[24] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],151,5
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=toString methodDesc=()Ljava/lang/String;] indexes=[12] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],85,28
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=values methodDesc=()[Ljava/lang/String;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],153,8
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=read methodDesc=([CII)I] indexes=[82] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR5Mutator],25,12
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.Token method=toString methodDesc=()Ljava/lang/String;] indexes=[14] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],64,15
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.Lexer method=parseEncapsulatedToken methodDesc=(Lorg/apache/commons/csv/Token;)Lorg/apache/commons/csv/Token;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],62,7
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=getCurrentLineNumber methodDesc=()J] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],20,44
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=read methodDesc=()I] indexes=[24] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI1Mutator],113,41
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVParser method=parse methodDesc=(Ljava/net/URL;Ljava/nio/charset/Charset;Lorg/apache/commons/csv/CSVFormat;)Lorg/apache/commons/csv/CSVParser;] indexes=[17] mutator=org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator],101,27
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=read methodDesc=([CII)I] indexes=[122] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOD2Mutator],27,16
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=getCurrentLineNumber methodDesc=()J] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],373,1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=getCurrentLineNumber methodDesc=()J] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],283,1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=getCurrentLineNumber methodDesc=()J] indexes=[14] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],193,1
